borrower_id,age,state,annual_income,employment_status,housing_status,dti_ratio,years_at_current_residence,credit_history_years,fico_score,fico_band
BOR101749,53,TX,97400.0,Retired,Rent,44.8,6.9,35,717,Good (680-739)
BOR101750,36,IL,27200.0,Full-time,Rent,16.8,2.9,16,653,Fair (620-679)
BOR101751,34,NJ,123700.0,Full-time,Rent,42.0,2.1,14,681,Good (680-739)
BOR101752,52,WI,59700.0,Full-time,Rent,33.1,0.2,32,680,Good (680-739)
BOR101753,19,IL,37800.0,Self-employed,Own,51.0,5.5,1,621,Fair (620-679)
BOR101754,50,NV,48100.0,Part-time,Rent,65.0,8.3,31,709,Good (680-739)
BOR101755,32,AZ,34300.0,Full-time,Mortgage,30.0,0.0,13,573,Poor (<620)
BOR101756,32,CO,36500.0,Full-time,Mortgage,29.0,4.2,14,794,Very Good (740-799)
BOR101757,64,VA,48200.0,Self-employed,Rent,28.2,2.8,48,732,Good (680-739)
BOR101758,35,WA,40200.0,Unemployed,Rent,32.7,6.9,16,722,Good (680-739)
BOR101759,52,TN,30600.0,Full-time,Mortgage,34.3,0.7,34,567,Poor (<620)
BOR101760,44,MS,42200.0,Part-time,Rent,58.4,1.2,23,628,Fair (620-679)
BOR101761,46,WA,25800.0,Full-time,Rent,33.4,7.3,25,770,Very Good (740-799)
BOR101762,38,WA,26300.0,Full-time,Mortgage,27.7,2.8,20,850,Exceptional (800+)
BOR101763,37,TN,26200.0,Full-time,Own,32.1,0.4,20,758,Very Good (740-799)
BOR101764,59,WI,98900.0,Part-time,Own,23.8,7.3,38,747,Very Good (740-799)
BOR101765,52,TX,56000.0,Full-time,Mortgage,15.2,3.8,31,714,Good (680-739)
BOR101766,35,WA,61000.0,Self-employed,Mortgage,30.5,0.8,17,625,Fair (620-679)
BOR101767,28,VA,46900.0,Full-time,Mortgage,55.3,0.2,12,745,Very Good (740-799)
BOR101768,34,MS,58600.0,Full-time,Own,40.9,0.1,15,608,Poor (<620)
BOR101769,53,WA,79200.0,Full-time,Mortgage,27.2,1.9,32,601,Poor (<620)
BOR101770,55,VA,56000.0,Part-time,Mortgage,35.5,2.3,38,597,Poor (<620)
BOR101771,48,UT,97600.0,Full-time,Rent,57.1,0.5,28,743,Very Good (740-799)
BOR101772,22,NJ,45900.0,Full-time,Mortgage,34.0,9.0,1,676,Fair (620-679)
BOR101773,50,PA,61100.0,Full-time,Own,23.1,7.8,29,687,Good (680-739)
BOR101774,57,IL,64000.0,Full-time,Mortgage,32.7,5.1,35,679,Fair (620-679)
BOR101775,43,FL,30700.0,Full-time,Rent,38.4,1.7,27,607,Poor (<620)
BOR101776,65,CA,47500.0,Full-time,Mortgage,36.2,1.5,42,636,Fair (620-679)
BOR101777,25,NJ,20400.0,Full-time,Rent,46.5,0.6,2,640,Fair (620-679)
BOR101778,49,MN,44000.0,Full-time,Mortgage,33.0,0.0,28,589,Poor (<620)
BOR101779,29,MD,41100.0,Full-time,Own,8.6,9.3,9,647,Fair (620-679)
BOR101780,54,CA,40000.0,Full-time,Mortgage,36.7,8.8,37,610,Poor (<620)
BOR101781,48,MA,38800.0,Full-time,Rent,36.0,22.6,27,718,Good (680-739)
BOR101782,63,PA,58700.0,Full-time,Rent,35.4,7.6,42,723,Good (680-739)
BOR101783,47,NM,31300.0,Full-time,Mortgage,23.5,4.8,25,596,Poor (<620)
BOR101784,36,PA,107700.0,Full-time,Other,51.9,0.4,19,661,Fair (620-679)
BOR101785,35,TN,60200.0,Part-time,Mortgage,21.1,0.0,19,801,Exceptional (800+)
BOR101786,38,NC,32500.0,Self-employed,Rent,22.2,0.2,19,616,Poor (<620)
BOR101787,35,IN,62400.0,Full-time,Rent,29.7,0.4,18,708,Good (680-739)
BOR101788,57,NJ,73000.0,Full-time,Mortgage,45.3,2.7,35,687,Good (680-739)
BOR101789,56,CO,55100.0,Full-time,Rent,45.7,1.6,39,751,Very Good (740-799)
BOR101790,23,IL,29700.0,Full-time,Rent,38.4,3.0,6,699,Good (680-739)
BOR101791,41,MS,127600.0,Full-time,Own,40.9,4.4,24,652,Fair (620-679)
BOR101792,42,WA,62200.0,Self-employed,Own,19.0,2.1,19,684,Good (680-739)
BOR101793,32,CO,26600.0,Full-time,Rent,15.0,7.0,16,685,Good (680-739)
BOR101794,46,NV,51200.0,Retired,Rent,28.3,3.1,27,674,Fair (620-679)
BOR101795,59,NH,42200.0,Full-time,Other,40.9,5.6,36,594,Poor (<620)
BOR101796,52,IL,46800.0,Full-time,Rent,41.1,1.3,34,761,Very Good (740-799)
BOR101797,57,GA,27300.0,Full-time,Rent,23.3,4.2,39,749,Very Good (740-799)
BOR101798,32,OH,47800.0,Full-time,Mortgage,22.2,4.2,11,612,Poor (<620)
BOR101799,41,OH,32100.0,Full-time,Rent,43.7,0.6,25,660,Fair (620-679)
BOR101800,32,MA,39800.0,Retired,Mortgage,33.9,0.1,12,665,Fair (620-679)
BOR101801,44,NH,55500.0,Full-time,Mortgage,11.3,0.2,23,605,Poor (<620)
BOR101802,45,NH,37600.0,Retired,Rent,20.8,2.5,26,559,Poor (<620)
BOR101803,53,WA,40900.0,Self-employed,Own,36.9,2.9,35,636,Fair (620-679)
BOR101804,57,IN,67400.0,Part-time,Rent,20.1,0.8,40,657,Fair (620-679)
BOR101805,49,LA,31300.0,Retired,Rent,22.2,16.7,32,586,Poor (<620)
BOR101806,31,MS,34800.0,Full-time,Rent,22.5,0.9,13,692,Good (680-739)
BOR101807,25,PA,26500.0,Self-employed,Mortgage,40.7,9.9,2,756,Very Good (740-799)
BOR101808,47,WA,32200.0,Full-time,Mortgage,31.9,2.5,30,735,Good (680-739)
BOR101809,59,NV,49400.0,Full-time,Rent,48.8,6.8,37,672,Fair (620-679)
BOR101810,41,GA,62200.0,Full-time,Own,27.7,0.2,23,560,Poor (<620)
BOR101811,23,NJ,32400.0,Self-employed,Own,29.9,3.4,3,727,Good (680-739)
BOR101812,66,NH,61400.0,Retired,Rent,35.3,0.8,44,690,Good (680-739)
BOR101813,47,NH,48900.0,Full-time,Own,25.8,0.7,28,708,Good (680-739)
BOR101814,43,MS,25000.0,Full-time,Mortgage,16.0,3.5,20,806,Exceptional (800+)
BOR101815,27,MN,50400.0,Full-time,Mortgage,28.5,2.0,11,626,Fair (620-679)
BOR101816,41,OH,79800.0,Self-employed,Other,24.5,3.1,20,500,Poor (<620)
BOR101817,49,NC,19900.0,Full-time,Rent,30.7,3.7,30,612,Poor (<620)
BOR101818,47,AZ,115000.0,Full-time,Rent,26.0,0.2,27,712,Good (680-739)
BOR101819,33,AZ,35400.0,Full-time,Rent,36.5,4.1,14,682,Good (680-739)
BOR101820,40,WA,22200.0,Retired,Mortgage,28.5,1.0,18,601,Poor (<620)
BOR101821,34,TN,49600.0,Self-employed,Mortgage,15.8,10.2,14,588,Poor (<620)
BOR101822,61,NJ,67800.0,Full-time,Mortgage,25.8,3.8,39,657,Fair (620-679)
BOR101823,52,CO,41100.0,Full-time,Rent,20.0,2.2,33,599,Poor (<620)
BOR101824,35,NC,53600.0,Self-employed,Own,51.2,0.0,19,714,Good (680-739)
BOR101825,27,NC,121000.0,Full-time,Rent,32.5,6.1,7,653,Fair (620-679)
BOR101826,44,NY,51200.0,Full-time,Mortgage,38.7,2.1,21,639,Fair (620-679)
BOR101827,35,PA,178500.0,Retired,Mortgage,31.0,6.7,15,631,Fair (620-679)
BOR101828,36,NV,82400.0,Full-time,Mortgage,50.3,1.8,13,697,Good (680-739)
BOR101829,27,NJ,47700.0,Retired,Mortgage,19.4,7.1,11,683,Good (680-739)
BOR101830,29,IL,53200.0,Full-time,Own,24.1,1.7,8,693,Good (680-739)
BOR101831,43,CO,40400.0,Full-time,Other,43.1,3.1,26,692,Good (680-739)
BOR101832,38,AZ,52200.0,Retired,Mortgage,26.8,2.2,22,675,Fair (620-679)
BOR101833,71,CA,60000.0,Part-time,Rent,24.5,0.8,52,613,Poor (<620)
BOR101834,48,GA,38900.0,Self-employed,Rent,26.4,5.6,27,633,Fair (620-679)
BOR101835,27,PA,25100.0,Self-employed,Mortgage,51.3,3.1,4,654,Fair (620-679)
BOR101836,23,IN,84500.0,Full-time,Mortgage,52.4,5.7,3,814,Exceptional (800+)
BOR101837,46,OH,72300.0,Full-time,Rent,36.1,7.1,23,592,Poor (<620)
BOR101838,36,TX,24600.0,Part-time,Rent,34.0,0.8,16,653,Fair (620-679)
BOR101839,57,TX,50400.0,Self-employed,Rent,39.8,3.1,37,686,Good (680-739)
BOR101840,44,MA,74000.0,Self-employed,Mortgage,35.9,6.8,27,660,Fair (620-679)
BOR101841,19,CA,70700.0,Full-time,Own,33.8,8.7,1,750,Very Good (740-799)
BOR101842,29,NV,34100.0,Full-time,Rent,27.5,2.6,6,660,Fair (620-679)
BOR101843,33,PA,72500.0,Full-time,Mortgage,25.8,1.5,13,665,Fair (620-679)
BOR101844,46,TN,46900.0,Full-time,Mortgage,37.0,1.8,25,733,Good (680-739)
BOR101845,28,NJ,55500.0,Full-time,Rent,33.4,1.6,10,798,Very Good (740-799)
BOR101846,43,NJ,30800.0,Unemployed,Other,46.7,2.0,20,771,Very Good (740-799)
BOR101847,25,TX,18000.0,Full-time,Rent,29.4,3.0,6,671,Fair (620-679)
BOR101848,41,NV,32900.0,Full-time,Rent,22.7,10.7,22,677,Fair (620-679)
BOR101849,45,LA,59400.0,Full-time,Other,17.4,0.4,25,683,Good (680-739)
BOR101850,59,CA,42500.0,Full-time,Mortgage,24.3,20.9,38,690,Good (680-739)
BOR101851,44,PA,62500.0,Part-time,Own,17.6,1.3,22,625,Fair (620-679)
BOR101852,31,MS,76700.0,Self-employed,Mortgage,43.5,0.9,11,741,Very Good (740-799)
BOR101853,59,AZ,40200.0,Full-time,Rent,27.7,3.8,41,693,Good (680-739)
BOR101854,39,NY,38400.0,Self-employed,Rent,24.3,3.2,21,677,Fair (620-679)
BOR101855,50,PA,18000.0,Part-time,Rent,36.8,4.9,33,597,Poor (<620)
BOR101856,34,IN,23200.0,Full-time,Rent,51.5,0.3,16,684,Good (680-739)
BOR101857,42,MD,25500.0,Full-time,Mortgage,27.7,3.8,25,557,Poor (<620)
BOR101858,31,TN,59900.0,Full-time,Mortgage,20.7,13.2,9,642,Fair (620-679)
BOR101859,45,UT,40400.0,Full-time,Rent,28.0,5.5,27,643,Fair (620-679)
BOR101860,51,WA,36700.0,Full-time,Rent,13.4,5.9,28,699,Good (680-739)
BOR101861,35,GA,34800.0,Part-time,Rent,37.1,6.8,15,802,Exceptional (800+)
BOR101862,34,VA,32800.0,Full-time,Mortgage,37.8,8.5,18,717,Good (680-739)
BOR101863,45,NC,70700.0,Full-time,Mortgage,27.6,3.3,22,774,Very Good (740-799)
BOR101864,31,IL,48600.0,Full-time,Own,20.8,2.2,10,722,Good (680-739)
BOR101865,23,TX,72800.0,Unemployed,Rent,56.0,0.6,6,753,Very Good (740-799)
BOR101866,45,NC,18000.0,Full-time,Mortgage,19.7,2.7,23,801,Exceptional (800+)
BOR101867,40,MD,59300.0,Self-employed,Rent,24.5,15.4,24,632,Fair (620-679)
BOR101868,39,CA,37500.0,Full-time,Rent,32.3,1.2,23,628,Fair (620-679)
BOR101869,47,NJ,41100.0,Full-time,Rent,40.6,5.4,29,723,Good (680-739)
BOR101870,49,IN,85700.0,Full-time,Own,30.5,1.0,28,680,Good (680-739)
BOR101871,39,TN,39100.0,Full-time,Mortgage,32.4,0.7,19,694,Good (680-739)
BOR101872,28,MN,58200.0,Full-time,Mortgage,38.1,9.8,10,664,Fair (620-679)
BOR101873,33,NV,29500.0,Full-time,Own,64.1,6.2,10,641,Fair (620-679)
BOR101874,48,MD,47400.0,Full-time,Mortgage,26.2,1.6,27,785,Very Good (740-799)
BOR101875,43,FL,22800.0,Full-time,Mortgage,26.9,2.7,22,609,Poor (<620)
BOR101876,34,VA,45400.0,Full-time,Rent,30.9,5.3,18,725,Good (680-739)
BOR101877,32,TN,55500.0,Full-time,Rent,38.8,1.6,10,714,Good (680-739)
BOR101878,48,OH,76700.0,Self-employed,Rent,57.3,2.9,31,577,Poor (<620)
BOR101879,38,TX,32300.0,Full-time,Own,30.9,3.2,18,626,Fair (620-679)
BOR101880,50,IL,36800.0,Full-time,Rent,37.5,3.2,32,637,Fair (620-679)
BOR101881,52,NJ,34900.0,Part-time,Own,10.4,3.6,29,717,Good (680-739)
BOR101882,37,NJ,41600.0,Full-time,Rent,32.6,5.4,14,656,Fair (620-679)
BOR101883,52,PA,30200.0,Full-time,Rent,31.9,0.1,32,674,Fair (620-679)
BOR101884,43,NV,18000.0,Full-time,Mortgage,42.2,5.3,24,585,Poor (<620)
BOR101885,44,MS,29200.0,Self-employed,Own,26.8,9.1,23,831,Exceptional (800+)
BOR101886,19,PA,45600.0,Self-employed,Own,19.8,10.6,1,685,Good (680-739)
BOR101887,29,MS,43600.0,Full-time,Mortgage,34.3,4.1,6,712,Good (680-739)
BOR101888,30,CA,59800.0,Full-time,Mortgage,16.4,1.4,7,645,Fair (620-679)
BOR101889,37,MS,68100.0,Full-time,Own,24.0,1.0,17,638,Fair (620-679)
BOR101890,42,UT,38100.0,Full-time,Rent,32.5,3.4,26,804,Exceptional (800+)
BOR101891,43,CA,22800.0,Retired,Own,8.0,0.1,26,555,Poor (<620)
BOR101892,44,CO,55900.0,Full-time,Mortgage,29.4,4.8,25,698,Good (680-739)
BOR101893,33,UT,46400.0,Full-time,Rent,47.8,2.0,10,601,Poor (<620)
BOR101894,49,MS,41500.0,Full-time,Rent,15.9,1.9,31,654,Fair (620-679)
BOR101895,63,UT,80800.0,Self-employed,Mortgage,25.2,17.1,43,639,Fair (620-679)
BOR101896,37,AZ,57100.0,Full-time,Rent,37.9,5.4,16,616,Poor (<620)
BOR101897,33,TX,49300.0,Full-time,Own,40.2,7.5,11,682,Good (680-739)
BOR101898,33,NV,50200.0,Full-time,Rent,32.6,2.1,16,513,Poor (<620)
BOR101899,42,TN,68300.0,Full-time,Rent,30.1,0.3,23,659,Fair (620-679)
BOR101900,35,TN,34200.0,Full-time,Mortgage,48.5,1.6,12,674,Fair (620-679)
BOR101901,20,NJ,31400.0,Retired,Own,34.1,6.9,1,592,Poor (<620)
BOR101902,24,MA,42000.0,Part-time,Rent,21.4,2.1,4,778,Very Good (740-799)
BOR101903,53,PA,27400.0,Full-time,Rent,33.2,7.1,31,641,Fair (620-679)
BOR101904,56,WI,45700.0,Full-time,Rent,30.7,3.1,36,665,Fair (620-679)
BOR101905,60,TX,48700.0,Full-time,Mortgage,27.6,0.8,39,642,Fair (620-679)
BOR101906,44,MD,45200.0,Self-employed,Mortgage,15.2,9.4,21,675,Fair (620-679)
BOR101907,29,NV,39600.0,Full-time,Rent,31.9,2.0,7,765,Very Good (740-799)
BOR101908,36,VA,98100.0,Full-time,Mortgage,37.8,0.5,14,841,Exceptional (800+)
BOR101909,23,WA,71200.0,Full-time,Mortgage,39.5,1.7,1,728,Good (680-739)
BOR101910,23,GA,44600.0,Full-time,Mortgage,32.1,5.6,7,751,Very Good (740-799)
BOR101911,44,UT,48600.0,Full-time,Mortgage,32.4,1.0,22,792,Very Good (740-799)
BOR101912,47,MD,86600.0,Self-employed,Mortgage,26.4,0.8,27,696,Good (680-739)
BOR101913,65,NC,35800.0,Retired,Rent,41.7,5.1,45,782,Very Good (740-799)
BOR101914,40,PA,30200.0,Full-time,Own,20.1,0.3,17,732,Good (680-739)
BOR101915,25,IL,51600.0,Full-time,Mortgage,26.8,0.8,4,689,Good (680-739)
BOR101916,40,VA,56200.0,Full-time,Rent,23.9,5.7,20,703,Good (680-739)
BOR101917,38,NM,58100.0,Self-employed,Rent,30.9,6.8,15,562,Poor (<620)
BOR101918,35,WI,67700.0,Full-time,Rent,45.1,1.1,15,699,Good (680-739)
BOR101919,45,IL,33500.0,Retired,Rent,20.1,12.1,25,580,Poor (<620)
BOR101920,26,LA,24700.0,Self-employed,Mortgage,34.8,2.1,10,574,Poor (<620)
BOR101921,43,MI,35800.0,Full-time,Rent,35.0,1.3,27,693,Good (680-739)
BOR101922,49,NV,60600.0,Full-time,Rent,22.4,10.8,30,608,Poor (<620)
BOR101923,58,OH,30800.0,Full-time,Mortgage,30.1,9.1,42,680,Good (680-739)
BOR101924,45,TN,19500.0,Self-employed,Rent,23.0,1.0,25,689,Good (680-739)
BOR101925,54,MS,49800.0,Full-time,Rent,33.0,1.2,32,692,Good (680-739)
BOR101926,36,OH,36100.0,Retired,Rent,30.8,8.5,18,621,Fair (620-679)
BOR101927,37,MD,21400.0,Part-time,Rent,47.0,0.0,21,738,Good (680-739)
BOR101928,57,NH,48200.0,Part-time,Other,24.3,2.1,34,674,Fair (620-679)
BOR101929,25,NY,39200.0,Full-time,Mortgage,30.3,1.0,4,709,Good (680-739)
BOR101930,36,FL,99100.0,Full-time,Rent,28.3,0.9,20,602,Poor (<620)
BOR101931,55,MO,48500.0,Retired,Own,45.6,0.5,32,668,Fair (620-679)
BOR101932,38,NC,60700.0,Full-time,Rent,27.1,0.4,19,751,Very Good (740-799)
BOR101933,38,TX,46300.0,Unemployed,Mortgage,23.1,12.8,18,743,Very Good (740-799)
BOR101934,38,VA,35600.0,Full-time,Mortgage,24.2,11.0,16,628,Fair (620-679)
BOR101935,42,CO,37400.0,Full-time,Rent,24.1,0.9,25,645,Fair (620-679)
BOR101936,54,GA,75800.0,Full-time,Mortgage,26.2,1.1,37,616,Poor (<620)
BOR101937,52,NC,65300.0,Full-time,Rent,23.4,6.0,29,637,Fair (620-679)
BOR101938,41,NV,23900.0,Full-time,Mortgage,32.2,0.9,25,589,Poor (<620)
BOR101939,54,WA,26600.0,Retired,Rent,19.0,2.1,34,671,Fair (620-679)
BOR101940,45,NV,27300.0,Full-time,Rent,37.8,0.1,27,721,Good (680-739)
BOR101941,51,NJ,75100.0,Full-time,Rent,32.4,2.4,34,629,Fair (620-679)
BOR101942,29,UT,21400.0,Part-time,Mortgage,48.2,15.1,6,674,Fair (620-679)
BOR101943,62,IN,66400.0,Self-employed,Rent,36.7,9.0,43,666,Fair (620-679)
BOR101944,44,FL,55800.0,Self-employed,Mortgage,35.7,4.3,21,749,Very Good (740-799)
BOR101945,19,LA,49800.0,Full-time,Rent,52.1,4.2,1,640,Fair (620-679)
BOR101946,61,WA,37700.0,Full-time,Rent,36.3,1.7,40,643,Fair (620-679)
BOR101947,41,NY,79600.0,Full-time,Mortgage,29.9,1.2,21,625,Fair (620-679)
BOR101948,36,PA,49100.0,Retired,Mortgage,23.3,15.1,19,606,Poor (<620)
BOR101949,34,MD,24300.0,Retired,Mortgage,46.5,5.0,14,714,Good (680-739)
BOR101950,46,TX,27000.0,Full-time,Rent,21.9,0.6,23,671,Fair (620-679)
BOR101951,30,GA,22200.0,Full-time,Mortgage,20.6,5.1,14,684,Good (680-739)
BOR101952,34,NY,80000.0,Self-employed,Mortgage,20.6,8.8,12,763,Very Good (740-799)
BOR101953,34,NJ,88500.0,Full-time,Mortgage,24.5,3.2,15,767,Very Good (740-799)
BOR101954,37,NJ,76000.0,Full-time,Rent,32.4,10.3,18,573,Poor (<620)
BOR101955,35,WA,43700.0,Full-time,Rent,29.4,0.1,14,722,Good (680-739)
BOR101956,51,GA,24500.0,Part-time,Mortgage,37.3,2.7,29,695,Good (680-739)
BOR101957,44,CA,29000.0,Full-time,Mortgage,21.1,1.2,27,650,Fair (620-679)
BOR101958,46,TN,29900.0,Full-time,Mortgage,23.3,4.1,25,701,Good (680-739)
BOR101959,48,MI,45700.0,Self-employed,Rent,33.5,7.6,25,568,Poor (<620)
BOR101960,40,IN,87100.0,Full-time,Other,22.4,0.4,23,775,Very Good (740-799)
BOR101961,29,FL,86900.0,Full-time,Rent,18.4,5.8,13,713,Good (680-739)
BOR101962,63,CA,37400.0,Full-time,Rent,16.7,1.9,45,624,Fair (620-679)
BOR101963,52,OH,18000.0,Part-time,Mortgage,31.5,2.7,34,642,Fair (620-679)
BOR101964,60,NJ,27600.0,Full-time,Mortgage,31.3,7.2,41,569,Poor (<620)
BOR101965,53,MI,79600.0,Full-time,Rent,30.8,1.8,37,660,Fair (620-679)
BOR101966,35,NV,51800.0,Unemployed,Rent,44.2,0.3,15,649,Fair (620-679)
BOR101967,19,MI,39700.0,Full-time,Own,35.0,0.7,1,594,Poor (<620)
BOR101968,26,AZ,38500.0,Full-time,Own,32.0,1.4,6,730,Good (680-739)
BOR101969,49,TN,33300.0,Full-time,Mortgage,45.5,3.4,31,763,Very Good (740-799)
BOR101970,40,CA,27100.0,Full-time,Rent,41.8,1.7,17,678,Fair (620-679)
BOR101971,36,WA,118500.0,Full-time,Other,24.7,1.7,17,660,Fair (620-679)
BOR101972,19,NC,101000.0,Full-time,Own,40.3,4.8,1,708,Good (680-739)
BOR101973,41,NJ,32200.0,Part-time,Rent,49.7,13.1,19,679,Fair (620-679)
BOR101974,28,FL,21200.0,Full-time,Rent,49.8,2.5,7,610,Poor (<620)
BOR101975,32,MN,50300.0,Full-time,Mortgage,41.8,0.6,14,638,Fair (620-679)
BOR101976,51,NM,43600.0,Full-time,Own,35.9,9.6,29,661,Fair (620-679)
BOR101977,29,CA,61900.0,Self-employed,Mortgage,34.9,4.1,12,696,Good (680-739)
BOR101978,30,TN,68500.0,Part-time,Rent,46.6,2.1,8,681,Good (680-739)
BOR101979,43,CO,27500.0,Self-employed,Own,18.6,8.6,26,694,Good (680-739)
BOR101980,51,GA,83000.0,Full-time,Rent,44.7,0.0,31,581,Poor (<620)
BOR101981,36,MN,39800.0,Full-time,Rent,33.3,0.9,20,723,Good (680-739)
BOR101982,59,TN,61300.0,Part-time,Rent,22.8,1.9,39,680,Good (680-739)
BOR101983,26,MS,41500.0,Full-time,Rent,20.2,3.7,9,846,Exceptional (800+)
BOR101984,24,NH,70600.0,Unemployed,Own,14.9,22.3,2,655,Fair (620-679)
BOR101985,23,TX,18000.0,Full-time,Rent,37.6,4.0,5,701,Good (680-739)
BOR101986,21,NJ,65000.0,Full-time,Rent,51.2,2.8,1,850,Exceptional (800+)
BOR101987,45,AZ,32100.0,Self-employed,Own,27.0,2.0,28,693,Good (680-739)
BOR101988,29,NY,48200.0,Part-time,Mortgage,23.5,4.3,7,676,Fair (620-679)
BOR101989,24,NC,81600.0,Full-time,Mortgage,44.1,2.5,8,616,Poor (<620)
BOR101990,46,NH,32500.0,Full-time,Rent,33.1,0.5,26,779,Very Good (740-799)
BOR101991,51,CA,30300.0,Full-time,Mortgage,44.5,1.5,28,605,Poor (<620)
BOR101992,54,NJ,39400.0,Full-time,Rent,22.2,8.4,37,708,Good (680-739)
BOR101993,52,NV,38300.0,Full-time,Other,38.5,6.4,36,649,Fair (620-679)
BOR101994,30,NC,29100.0,Self-employed,Mortgage,50.2,0.6,10,668,Fair (620-679)
BOR101995,44,VA,48900.0,Full-time,Own,21.5,5.3,23,587,Poor (<620)
BOR101996,47,NH,50100.0,Part-time,Mortgage,28.8,3.0,29,767,Very Good (740-799)
BOR101997,35,VA,57400.0,Full-time,Mortgage,28.4,0.3,17,662,Fair (620-679)
BOR101998,43,NY,32200.0,Part-time,Rent,39.5,1.6,23,601,Poor (<620)
BOR101999,26,TX,30500.0,Full-time,Mortgage,44.6,1.5,6,761,Very Good (740-799)
BOR102000,33,NM,44200.0,Full-time,Mortgage,25.2,0.0,15,647,Fair (620-679)
BOR102001,45,OH,41800.0,Full-time,Mortgage,57.0,1.0,29,702,Good (680-739)
BOR102002,59,WA,42100.0,Full-time,Own,32.6,1.7,40,735,Good (680-739)
BOR102003,55,FL,33900.0,Full-time,Rent,26.3,0.5,39,711,Good (680-739)
BOR102004,49,NJ,54100.0,Full-time,Mortgage,46.3,8.7,27,537,Poor (<620)
BOR102005,42,MS,30500.0,Full-time,Rent,33.4,0.1,24,725,Good (680-739)
BOR102006,40,WA,44100.0,Unemployed,Rent,28.2,1.1,24,673,Fair (620-679)
BOR102007,24,UT,40600.0,Full-time,Rent,26.6,2.8,3,659,Fair (620-679)
BOR102008,31,OH,45900.0,Full-time,Mortgage,53.0,6.2,10,673,Fair (620-679)
BOR102009,31,WA,79500.0,Full-time,Own,22.1,4.7,8,575,Poor (<620)
BOR102010,48,LA,25800.0,Self-employed,Mortgage,43.3,3.4,26,692,Good (680-739)
BOR102011,52,NJ,18000.0,Full-time,Mortgage,23.9,8.8,33,591,Poor (<620)
BOR102012,50,GA,35700.0,Full-time,Rent,25.8,6.5,32,661,Fair (620-679)
BOR102013,55,LA,27800.0,Self-employed,Rent,31.2,1.6,34,690,Good (680-739)
BOR102014,42,MI,18000.0,Full-time,Rent,36.7,1.1,25,750,Very Good (740-799)
BOR102015,29,AZ,102300.0,Self-employed,Rent,15.6,2.0,9,627,Fair (620-679)
BOR102016,40,NH,60000.0,Full-time,Mortgage,26.6,7.5,22,774,Very Good (740-799)
BOR102017,32,PA,63000.0,Full-time,Mortgage,42.3,0.4,9,742,Very Good (740-799)
BOR102018,49,GA,41000.0,Full-time,Rent,42.2,0.3,32,652,Fair (620-679)
BOR102019,37,CA,56400.0,Full-time,Mortgage,29.1,0.5,17,608,Poor (<620)
BOR102020,40,MI,38600.0,Full-time,Own,20.2,1.0,22,586,Poor (<620)
BOR102021,49,PA,67300.0,Full-time,Rent,34.2,5.7,31,698,Good (680-739)
BOR102022,32,MO,50800.0,Full-time,Own,40.3,1.8,11,632,Fair (620-679)
BOR102023,53,PA,45900.0,Retired,Rent,33.8,4.0,32,758,Very Good (740-799)
BOR102024,25,MO,47500.0,Retired,Own,46.1,1.4,3,636,Fair (620-679)
BOR102025,45,OH,90200.0,Full-time,Rent,29.3,5.0,23,621,Fair (620-679)
BOR102026,40,NC,50300.0,Full-time,Mortgage,18.8,2.9,17,695,Good (680-739)
BOR102027,51,NC,29300.0,Retired,Rent,26.1,6.1,29,635,Fair (620-679)
BOR102028,25,MD,54200.0,Full-time,Own,32.0,4.3,9,681,Good (680-739)
BOR102029,23,VA,58100.0,Full-time,Mortgage,25.0,1.9,1,744,Very Good (740-799)
BOR102030,50,NC,43700.0,Self-employed,Rent,26.8,8.4,27,688,Good (680-739)
BOR102031,36,NV,45500.0,Full-time,Rent,41.6,8.4,20,688,Good (680-739)
BOR102032,40,MA,28900.0,Full-time,Mortgage,23.9,0.4,18,693,Good (680-739)
BOR102033,33,IL,48700.0,Self-employed,Mortgage,18.7,3.6,14,570,Poor (<620)
BOR102034,52,LA,27000.0,Full-time,Rent,40.1,1.0,34,705,Good (680-739)
BOR102035,45,NC,41700.0,Part-time,Other,38.5,2.4,26,690,Good (680-739)
BOR102036,44,TX,34500.0,Self-employed,Rent,21.6,6.9,25,738,Good (680-739)
BOR102037,27,WA,72600.0,Full-time,Mortgage,39.1,2.6,4,719,Good (680-739)
BOR102038,47,NY,93700.0,Self-employed,Mortgage,20.7,2.1,24,667,Fair (620-679)
BOR102039,29,OH,27900.0,Full-time,Rent,24.8,3.9,12,747,Very Good (740-799)
BOR102040,33,WI,46500.0,Retired,Rent,21.0,0.8,10,661,Fair (620-679)
BOR102041,25,NY,40600.0,Full-time,Mortgage,27.4,2.9,6,696,Good (680-739)
BOR102042,39,NV,57500.0,Full-time,Mortgage,37.6,3.3,17,660,Fair (620-679)
BOR102043,54,MS,48700.0,Part-time,Own,34.7,16.3,33,710,Good (680-739)
BOR102044,44,TN,39200.0,Retired,Rent,23.9,1.2,23,656,Fair (620-679)
BOR102045,36,MD,48600.0,Part-time,Rent,33.9,0.4,20,787,Very Good (740-799)
BOR102046,42,MD,42300.0,Part-time,Rent,35.8,2.6,23,811,Exceptional (800+)
BOR102047,42,NH,95300.0,Unemployed,Rent,41.6,1.4,19,737,Good (680-739)
BOR102048,42,NC,32600.0,Full-time,Rent,35.6,1.2,24,780,Very Good (740-799)
